month,mean,median,std,p10,p25,p50,p75,p90
0,52.79999999999217,52.8,7.830180948076304e-12,52.8,52.8,52.8,52.8,52.8
1,54.63077764589154,53.59171468033997,11.291511869263456,41.092531626196774,46.53467460528812,53.59171468033997,61.550071443435314,69.68113776742597
2,56.47496794945063,54.30499288043132,16.058399620305096,37.4164443342659,44.985902263012534,54.30499288043132,65.97550414470483,78.97061132005275
3,57.52318549334942,54.9416430272063,19.006314143268412,34.723555137688436,43.13357856340768,54.9416430272063,69.39241304544653,85.53570195520679
4,58.67759279433247,55.64279647040534,21.057261744644883,33.07245012715977,42.5986303275398,55.64279647040534,72.98006189878518,91.96558289921964
5,59.32808969251948,56.40120583135433,22.519739035586106,31.523061391213197,41.39012677966172,56.40120583135433,75.87904520634434,95.70086268642177
6,60.07493811801616,57.32986884403482,23.636883646168716,30.32695321054514,40.9751820554671,57.32986884403482,78.56344861606047,99.67573301653283
7,60.6089609442172,57.94175776626072,24.630583123485742,29.322991097170586,40.13120804410539,57.94175776626072,80.98450650569819,100.0
8,60.64490617597537,58.24697585563763,25.173349945367967,27.793597654594272,39.87793511747896,58.24697585563763,82.15346024009864,100.0
9,60.84476749726555,59.11454898480628,25.57121183854779,27.390509912931805,39.45885929352232,59.11454898480628,82.58676148178591,100.0
10,60.85419675270653,59.163271441527115,25.93935785408455,26.71021928293407,39.308531450469495,59.163271441527115,83.21364218587576,100.0
11,60.94509396821942,59.58700173037303,26.34986681003742,25.61747328056751,38.903027807983825,59.58700173037303,84.06795879166816,100.0
12,60.84453414322883,59.85427545911125,26.590255892154286,24.894354598274216,38.66142499786594,59.85427545911125,83.9303412425759,100.0
13,60.70543254369365,59.64504877601635,26.7862744083206,24.576024246289393,38.14948899373416,59.64504877601635,84.24712032059882,100.0
14,60.78651906283896,60.09864919823517,27.040785768066794,24.47075810878891,37.783462284180565,60.09864919823517,85.02531749748412,100.0
15,60.595401142746155,59.907549508181354,27.340639663438214,23.69626707654604,37.59535231812608,59.907549508181354,85.14233385037689,100.0
