month,mean,median,std,p10,p25,p50,p75,p90
0,52.79999999999217,52.8,7.830180948076304e-12,52.8,52.8,52.8,52.8,52.8
1,54.400541960731786,53.747640841129915,8.415521842109808,44.179308102316355,48.43412248069619,53.747640841129915,59.57566308586331,65.34885967838197
2,56.00467180182533,54.70312453318794,12.327468466589384,41.31625273421708,47.08791424577714,54.70312453318794,63.31603791984327,72.50080952109606
3,57.48573796648816,55.56987374694605,15.13920025241538,39.89688893865291,46.35987116297557,55.56987374694605,66.5255992990797,78.17129008846474
4,58.74103044952786,56.493549974079805,17.239565614108002,38.10520665975815,45.92626332047506,56.493549974079805,69.55361278837904,83.17396371168364
5,60.03786258011589,57.74935509050495,18.975831419197757,37.058417264447996,45.56819871298546,57.74935509050495,72.49008634921923,88.66521325775304
6,60.955618135559966,58.30963760945126,20.18549723351627,36.11723166816019,45.49329592121871,58.30963760945126,75.17782333998423,92.16127452139078
7,62.0296485316748,59.55920834439218,21.200221372098714,35.57919561981572,45.77344833706936,59.55920834439218,77.69678487734888,96.06548966649164
8,62.70206658741667,60.35365970414224,21.88100684981002,35.13991415305417,45.452304317516834,60.35365970414224,79.82609897784523,97.93767224229994
9,63.43390017919825,61.86385359960837,22.471632904150713,34.3305712597748,45.4088209863493,61.86385359960837,81.48930136021107,99.65349596916198
10,63.99051910829644,62.79695383563512,23.068111711918093,33.68641899197935,45.16301950218564,62.79695383563512,83.4676565467908,100.0
11,64.53171330619078,63.48590966445818,23.50336438145955,33.321911458677775,45.33511037153512,63.48590966445818,84.97912653291652,100.0
12,64.89844800572035,64.17393269246935,23.860078554335903,32.8692627549259,45.28060751059549,64.17393269246935,85.65575357887889,100.0
13,65.1500356190466,65.15689406180161,24.129600248976587,32.32639990409364,45.163303255129556,65.15689406180161,86.23059330669611,100.0
14,65.39899570245252,65.47436092735057,24.334299171888365,32.150572925543585,45.325522894736196,65.47436092735057,87.19624965651089,100.0
15,65.51903781842726,66.32209269460985,24.481525376389424,31.97968994625087,45.30921724933459,66.32209269460985,87.16905289381495,100.0
16,65.77165708514899,66.20684011773014,24.68547931957004,31.71650948326812,45.508369440838436,66.20684011773014,88.05971266766512,100.0
17,66.0961635819722,67.19720185692177,24.841185665640637,31.525755670235693,45.70471386168225,67.19720185692177,88.72423982311575,100.0
18,66.38833279916594,67.63172521717004,25.039502941616977,31.32392415050824,46.26030864157251,67.63172521717004,89.32502259386968,100.0
19,66.48964156649346,67.8228578663751,25.16316585587904,30.51007048237881,46.37109862277152,67.8228578663751,89.39456985690225,100.0
20,66.58849169442045,68.0846004837311,25.210360818979865,30.66311914588236,46.58294522511542,68.0846004837311,89.49027377037991,100.0
21,66.82710901744626,68.57791377686175,25.25496707379644,30.827768565843286,46.568611950916875,68.57791377686175,89.8484262244742,100.0
22,67.00473081920863,68.85483265081936,25.445554316337066,30.8705151986629,46.810684928325045,68.85483265081936,90.48210899529212,100.0
23,67.16021508491585,69.42183388004639,25.632779268110077,30.530186294258304,46.381269737607795,69.42183388004639,90.8838470532374,100.0
24,67.2471597989178,69.53333608597016,25.6676484634075,30.221436131799347,46.25056575509276,69.53333608597016,91.22423092797652,100.0
25,67.27396541009706,69.9952975161495,25.71027817952889,30.032922936702487,46.52809855967922,69.9952975161495,90.83975087587253,100.0
26,67.39035488357926,69.81605740103123,25.71350649765447,30.04465851062796,47.18094227768603,69.81605740103123,91.35486561865427,100.0
27,67.33626194272321,70.09698409263471,25.73185708873155,29.809442911131747,46.76288205864336,70.09698409263471,90.84855820564741,100.0
28,67.56614970085455,70.76078537417658,25.783106326671067,30.349218096015967,46.91800320313588,70.76078537417658,91.30111295266389,100.0
29,67.54774383761742,70.36493249190019,25.659722323216354,30.29698107889944,47.29841752150174,70.36493249190019,90.88068323545556,100.0
30,67.53442090011791,70.55213921055463,25.75804514201277,30.165736339976103,46.99124121003054,70.55213921055463,91.16996975533606,100.0
31,67.61069192590939,70.45918498797647,25.84158083813059,30.012369705315667,47.42727725125279,70.45918498797647,91.43017659603836,100.0
32,67.75762404677718,70.49611599217923,25.88245957632756,30.072478636913253,47.51772246210798,70.49611599217923,91.64996119756009,100.0
33,67.70751554344866,70.77442689701485,25.90103207800854,29.851009242479506,47.21898691655409,70.77442689701485,91.63753698968767,100.0
34,67.68559693204688,70.87979087592896,25.969864123778663,29.51117282561707,47.58954906067525,70.87979087592896,91.81068663093883,100.0
35,67.67036632232245,70.79747473709882,26.04260976636399,29.619031366376436,47.41188335868797,70.79747473709882,91.8351777072722,100.0
36,67.68137663709655,70.97522832227165,26.07562419931223,29.641598330146586,47.27671279600661,70.97522832227165,91.76936234097657,100.0
37,67.69556962039901,70.91437577168261,26.05800243390768,29.55823479545399,47.09410772540669,70.91437577168261,92.03068413941114,100.0
38,67.62459354441465,70.61448282938366,26.124097781133152,29.52391860784307,46.884770860224826,70.61448282938366,92.02467680606222,100.0
39,67.55190620481423,70.97480724421993,26.0888336046049,29.42532580146546,47.20129469577657,70.97480724421993,91.60409310265089,100.0
40,67.70659807740172,70.83110068469536,26.102173670364483,29.74510354310427,47.39112782487025,70.83110068469536,91.73704965709221,100.0
41,67.60808438165162,70.70669399367318,26.093130574807766,29.414805131712612,47.08216377744685,70.70669399367318,91.62272119105788,100.0
42,67.59564217141802,70.63098225306223,26.13271589565187,29.257712176287928,47.415501234643955,70.63098225306223,91.77128853854103,100.0
43,67.60387628299243,70.83102086520687,26.215459861169283,29.191972742884488,47.28955775211071,70.83102086520687,92.02041935551543,100.0
44,67.48540183367689,70.88748104574341,26.101461919450205,29.163983715837563,47.31232808452687,70.88748104574341,91.2929650187051,100.0
45,67.54760849882216,70.88667794152497,26.126843086724246,28.98699879045655,47.250901316778545,70.88667794152497,91.23714624058971,100.0
46,67.41111935375912,70.59429784274792,26.165925355447694,28.574965777749483,47.2294542382463,70.59429784274792,91.37206600950856,100.0
47,67.39988181398816,70.71705392776065,26.219746094702803,28.74043455950087,47.31274832706981,70.71705392776065,91.52336572865559,100.0
48,67.4422891782966,70.63880739037222,26.230102695475114,29.052699312446567,47.084941468241674,70.63880739037222,91.54982514973602,100.0
49,67.4523341363193,70.29658106424915,26.25459769713628,28.926641180330712,47.245721773293404,70.29658106424915,91.77441582353357,100.0
50,67.5117470846581,71.00465587943788,26.313737304386255,28.874077058517475,47.36615199966954,71.00465587943788,91.63374927504019,100.0
51,67.50214580904102,71.20455755029693,26.428351632617336,28.38253572795382,47.307337266559024,71.20455755029693,91.719209126192,100.0
52,67.48828972622665,71.17577117830399,26.45222147142447,28.893555919347488,46.92317860499103,71.17577117830399,91.73186925424397,100.0
53,67.25785292834739,70.59146630472083,26.43663034375463,28.775388351365873,46.607636056830565,70.59146630472083,91.49681722790831,100.0
54,67.24250848035298,70.89058952729425,26.492965393460825,28.591972307656018,46.3917735160724,70.89058952729425,91.45243990767173,100.0
55,67.16537888091139,70.83538432539102,26.560308279962804,28.299170688583605,46.132324999700714,70.83538432539102,91.69444700409866,100.0
56,67.26978179908242,70.69325114196329,26.59330365987446,28.05091608825494,46.56437026092253,70.69325114196329,91.93277546850189,100.0
57,67.22140672599188,70.7304468046487,26.559822115229554,28.135114751049485,46.382250975181044,70.7304468046487,91.61514281503773,100.0
58,67.30766374769004,70.91607320434696,26.6894459065488,27.908940478549102,46.557531996228924,70.91607320434696,91.79505361893672,100.0
59,67.33239755502854,71.02380455777555,26.714857259846298,27.77683261351711,46.67977897892541,71.02380455777555,92.16932753178382,100.0
60,67.35805978082927,70.97772192956555,26.804893332347415,27.91205669627224,46.59937300119223,70.97772192956555,92.49795163092203,100.0
